alloc,,robots,,permut,,attr,,time  (maxSucc value=prob. of failing times 100)
1,,[r2, r3, r1],,[1970022937, 186, 1935706587],,{maxSucc=70.23718677793507, minTravel=800.0},,15741
1,,[r2, r3, r1],,[1313829475, 257, 279802617],,{maxSucc=70.23718677793505, minTravel=709.0},,18152
1,,[r2, r3, r1],,[830898411, 595, 579452809],,{maxSucc=70.23718677793508, minTravel=796.0},,21034
1,,[r2, r3, r1],,[821327639, 494, 342807484],,{maxSucc=70.23718677793507, minTravel=709.0},,63515
1,,[r2, r3, r1],,[1616037565, 251, 504989755],,{maxSucc=70.23718677793505, minTravel=845.0},,69726
1,,[r2, r3, r1],,[1980947937, 282, 730891522],,{maxSucc=70.23718677793507, minTravel=765.0},,75831
1,,[r2, r3, r1],,[577819938, 484, 800899015],,{maxSucc=70.23718677793505, minTravel=772.0},,80198
1,,[r2, r3, r1],,[1994059633, 187, 183189426],,{maxSucc=70.23718677793505, minTravel=844.0},,93074
1,,[r2, r3, r1],,[1594624805, 296, 800157712],,{maxSucc=70.23718677793505, minTravel=772.0},,95965
1,,[r2, r3, r1],,[19694630, 43, 968691993],,{maxSucc=70.23718677793507, minTravel=792.0},,100708
1,,[r2, r3, r1],,[1486172384, 478, 1391748864],,{maxSucc=70.23718677793507, minTravel=814.0},,110683
1,,[r2, r3, r1],,[562461459, 488, 518802159],,{maxSucc=70.23718677793507, minTravel=743.0},,113359
1,,[r2, r3, r1],,[1052176482, 445, 356522802],,{maxSucc=70.23718677793508, minTravel=777.0},,119497
1,,[r2, r3, r1],,[293247102, 504, 137506427],,{maxSucc=70.23718677793507, minTravel=700.0},,129695
1,,[r2, r3, r1],,[217281428, 124, 56019800],,{maxSucc=70.23718677793507, minTravel=784.0},,139558
1,,[r2, r3, r1],,[1166478432, 62, 1474483368],,{maxSucc=70.23718677793508, minTravel=678.0},,151295
1,,[r2, r3, r1],,[48707131, 151, 989838074],,{maxSucc=70.23718677793507, minTravel=845.0},,156696
1,,[r2, r3, r1],,[1356701198, 455, 1086804235],,{maxSucc=70.23718677793505, minTravel=681.0},,162204
3,,[r2, r3, r1],,[1295272040, 167, 1985266559],,{maxSucc=61.54792144368747, minTravel=766.0},,304305
3,,[r2, r3, r1],,[747928527, 514, 597298423],,{maxSucc=61.54792144368745, minTravel=719.0},,307472
3,,[r2, r3, r1],,[1072396179, 210, 1595958663],,{maxSucc=72.40931934551465, minTravel=719.0},,310096
3,,[r2, r3, r1],,[1319150554, 482, 730238796],,{maxSucc=61.54792144368745, minTravel=700.0},,312791
3,,[r2, r3, r1],,[1078656163, 432, 275415049],,{maxSucc=72.40931934551465, minTravel=754.0},,315534
3,,[r2, r3, r1],,[1203043368, 539, 722134074],,{maxSucc=72.40931934551465, minTravel=617.0},,320621
3,,[r2, r3, r1],,[434615952, 538, 613330508],,{maxSucc=61.547921443687436, minTravel=724.0},,323286
3,,[r2, r3, r1],,[1092712976, 320, 1075185761],,{maxSucc=72.40931934551465, minTravel=739.0},,326004
3,,[r2, r3, r1],,[1080135335, 573, 846060304],,{maxSucc=72.40931934551466, minTravel=743.0},,329484
3,,[r2, r3, r1],,[710640566, 706, 724787010],,{maxSucc=72.40931934551465, minTravel=683.0},,337250
3,,[r2, r3, r1],,[886627276, 637, 1469027465],,{maxSucc=72.40931934551466, minTravel=800.0},,339767
3,,[r2, r3, r1],,[1276245337, 54, 1107538214],,{maxSucc=72.40931934551465, minTravel=739.0},,345361
3,,[r2, r3, r1],,[1272605367, 284, 500201541],,{maxSucc=61.547921443687436, minTravel=753.0},,348596
3,,[r2, r3, r1],,[1813155025, 669, 1387885496],,{maxSucc=61.547921443687436, minTravel=725.0},,351701
3,,[r2, r3, r1],,[900100074, 633, 602371549],,{maxSucc=72.40931934551466, minTravel=757.0},,354337
3,,[r2, r3, r1],,[1057494817, 701, 1247857253],,{maxSucc=61.547921443687436, minTravel=648.0},,356856
3,,[r2, r3, r1],,[1736819050, 329, 77580859],,{maxSucc=72.40931934551463, minTravel=731.0},,364487
3,,[r2, r3, r1],,[1978982567, 218, 1800170361],,{maxSucc=72.40931934551466, minTravel=720.0},,367028
3,,[r2, r3, r1],,[1321964752, 469, 506036687],,{maxSucc=61.54792144368745, minTravel=759.0},,369553
3,,[r2, r3, r1],,[894309104, 584, 1560086862],,{maxSucc=61.54792144368745, minTravel=793.0},,372039
3,,[r2, r3, r1],,[105256804, 187, 1302179928],,{maxSucc=72.40931934551465, minTravel=635.0},,374733
3,,[r2, r3, r1],,[256371520, 210, 1510925372],,{maxSucc=72.40931934551463, minTravel=738.0},,377191
3,,[r2, r3, r1],,[1534674484, 224, 611298914],,{maxSucc=61.54792144368745, minTravel=853.0},,379152
3,,[r2, r3, r1],,[362973404, 466, 110176865],,{maxSucc=61.54792144368746, minTravel=781.0},,381589
3,,[r2, r3, r1],,[1612235445, 12, 1688343748],,{maxSucc=61.547921443687436, minTravel=752.0},,384464
3,,[r2, r3, r1],,[137520539, 511, 733276465],,{maxSucc=61.547921443687436, minTravel=754.0},,389186
3,,[r2, r3, r1],,[1861984823, 302, 692996670],,{maxSucc=61.54792144368745, minTravel=632.0},,391619
3,,[r2, r3, r1],,[617292964, 448, 273937750],,{maxSucc=72.40931934551466, minTravel=743.0},,396474
3,,[r2, r3, r1],,[259941885, 261, 1455968510],,{maxSucc=61.54792144368745, minTravel=624.0},,401678
3,,[r2, r3, r1],,[1873150284, 513, 1298613511],,{maxSucc=72.40931934551466, minTravel=762.0},,404313
3,,[r2, r3, r1],,[1460217594, 662, 1203713148],,{maxSucc=61.547921443687436, minTravel=761.0},,406883
3,,[r2, r3, r1],,[1859433286, 241, 38567670],,{maxSucc=61.547921443687436, minTravel=725.0},,409503
3,,[r2, r3, r1],,[826196172, 705, 729076123],,{maxSucc=72.40931934551466, minTravel=688.0},,411938
3,,[r2, r3, r1],,[1434716066, 1, 974750522],,{maxSucc=72.40931934551465, minTravel=769.0},,414486
3,,[r2, r3, r1],,[1579519226, 29, 44253930],,{maxSucc=61.54792144368745, minTravel=732.0},,417090
3,,[r2, r3, r1],,[1600583505, 274, 1963511435],,{maxSucc=61.547921443687436, minTravel=674.0},,419503
3,,[r2, r3, r1],,[1684303113, 585, 1661631842],,{maxSucc=61.54792144368745, minTravel=741.0},,422120
3,,[r2, r3, r1],,[1681946618, 372, 9934430],,{maxSucc=72.40931934551466, minTravel=771.0},,427168
3,,[r2, r3, r1],,[997126053, 403, 1887996072],,{maxSucc=72.40931934551465, minTravel=775.0},,429848
3,,[r2, r3, r1],,[1407816211, 142, 1707734371],,{maxSucc=72.40931934551466, minTravel=729.0},,432880
8,,[r2, r3, r1],,[1845205322, 631, 1298677122],,{maxSucc=62.49170248475294, minTravel=719.0},,948886
8,,[r2, r3, r1],,[1173144265, 630, 1075820564],,{maxSucc=62.491702484752956, minTravel=729.0},,951490
8,,[r2, r3, r1],,[870817732, 409, 1093080582],,{maxSucc=62.491702484752956, minTravel=722.0},,961591
8,,[r2, r3, r1],,[1449205018, 294, 1553249219],,{maxSucc=62.491702484752956, minTravel=674.0},,969472
8,,[r2, r3, r1],,[1769001454, 275, 1642043013],,{maxSucc=62.491702484752956, minTravel=690.0},,971961
8,,[r2, r3, r1],,[1561286201, 340, 477832300],,{maxSucc=62.491702484752956, minTravel=723.0},,974572
8,,[r2, r3, r1],,[35072223, 507, 277311019],,{maxSucc=62.491702484752956, minTravel=708.0},,979697
8,,[r2, r3, r1],,[541272477, 156, 62994462],,{maxSucc=62.491702484752956, minTravel=657.0},,984752
8,,[r2, r3, r1],,[1938956812, 101, 807665788],,{maxSucc=62.491702484752956, minTravel=778.0},,987303
8,,[r2, r3, r1],,[604774612, 471, 626725598],,{maxSucc=62.491702484752956, minTravel=703.0},,992383
8,,[r2, r3, r1],,[54823794, 218, 237151597],,{maxSucc=62.49170248475296, minTravel=643.0},,994944
8,,[r2, r3, r1],,[199006328, 652, 305463751],,{maxSucc=62.49170248475294, minTravel=665.0},,997440
8,,[r2, r3, r1],,[30188844, 44, 907489187],,{maxSucc=62.49170248475296, minTravel=715.0},,1004839
8,,[r2, r3, r1],,[1047716426, 106, 228869016],,{maxSucc=62.491702484752956, minTravel=662.0},,1009946
8,,[r2, r3, r1],,[1684881686, 218, 1489882183],,{maxSucc=62.491702484752956, minTravel=641.0},,1012362
8,,[r2, r3, r1],,[1500981654, 496, 10330009],,{maxSucc=62.49170248475294, minTravel=697.0},,1025095
8,,[r2, r3, r1],,[943751235, 149, 1279246468],,{maxSucc=62.491702484752956, minTravel=809.0},,1027310
8,,[r2, r3, r1],,[322556299, 660, 1534838738],,{maxSucc=62.491702484752956, minTravel=659.0},,1033696
8,,[r2, r3, r1],,[1811576216, 244, 1739350111],,{maxSucc=62.491702484752935, minTravel=768.0},,1036341
8,,[r2, r3, r1],,[224543450, 344, 1129212804],,{maxSucc=62.491702484752956, minTravel=713.0},,1038962
8,,[r2, r3, r1],,[1398439871, 559, 1396196061],,{maxSucc=62.49170248475294, minTravel=750.0},,1041690
8,,[r2, r3, r1],,[243538895, 704, 52514889],,{maxSucc=62.49170248475296, minTravel=665.0},,1043951
8,,[r2, r3, r1],,[1899480421, 219, 95935473],,{maxSucc=62.491702484752956, minTravel=648.0},,1046502
8,,[r2, r3, r1],,[13101483, 701, 1674016139],,{maxSucc=62.49170248475294, minTravel=643.0},,1051864
8,,[r2, r3, r1],,[1528190959, 301, 601653017],,{maxSucc=62.49170248475294, minTravel=704.0},,1056872
8,,[r2, r3, r1],,[1291672459, 469, 1142571077],,{maxSucc=62.491702484752956, minTravel=696.0},,1059582
8,,[r2, r3, r1],,[827860870, 83, 609308871],,{maxSucc=62.49170248475296, minTravel=752.0},,1062214
8,,[r2, r3, r1],,[1307524864, 488, 994456839],,{maxSucc=62.49170248475294, minTravel=683.0},,1064718
8,,[r2, r3, r1],,[521986722, 483, 1775595833],,{maxSucc=62.491702484752956, minTravel=753.0},,1067214
